COD_UBIC_P,DESC_LINEA,COD_VARIAN,franja_horaria,cant_viajes
564,127,2526,00-10,6
564,127,2526,18-00,1
564,127,2668,00-10,11
564,127,2668,10-18,5
564,127,2668,18-00,7
564,127,2671,00-10,48
564,127,2671,10-18,59
564,127,2671,18-00,8
564,127,2673,10-18,2
564,127,2675,10-18,26
564,127,2675,18-00,1
564,127,3191,10-18,61
564,133,2095,00-10,1
564,133,2984,00-10,87
564,133,2984,18-00,1
564,133,2986,00-10,14
564,191,1402,00-10,61
564,191,1402,10-18,53
564,191,1402,18-00,19
564,191,2556,10-18,1
564,427,86,00-10,243
564,427,86,10-18,520
564,427,86,18-00,151
564,427,87,00-10,1
564,427,88,00-10,3
564,427,88,18-00,4
564,427,1956,00-10,4
564,427,2126,10-18,133
564,427,2126,18-00,6
564,427,2127,00-10,1
564,427,2127,10-18,3
564,427,2127,18-00,34
564,427,2359,00-10,60
564,427,2359,10-18,82
564,427,2359,18-00,90
564,427,2362,00-10,11
564,427,2362,10-18,124
564,427,2634,10-18,14
564,427,2634,18-00,18
564,456,101,00-10,6
564,456,2089,00-10,103
564,456,2089,10-18,152
564,456,2089,18-00,17
564,456,2997,00-10,29
564,456,2997,10-18,11
564,456,2997,18-00,41
564,494,129,00-10,63
564,494,129,10-18,174
564,494,129,18-00,99
564,494,2628,00-10,9
564,494,2628,10-18,127
564,494,2628,18-00,17
564,494,2653,00-10,59
564,494,2653,10-18,104
564,494,2653,18-00,72
564,494,2902,00-10,7
564,494,2902,10-18,115
564,494,2902,18-00,49
564,494,3303,10-18,51
564,494,3305,10-18,21
564,494,3307,10-18,94
564,495,141,00-10,53
564,495,7465,00-10,1
564,524,186,00-10,157
564,524,186,10-18,245
564,524,186,18-00,45
564,524,2102,00-10,3
564,524,2102,10-18,1
564,538,205,00-10,28
564,538,205,10-18,7
564,538,205,18-00,14
564,538,207,00-10,3
564,538,2091,00-10,85
564,538,2091,10-18,105
564,538,2091,18-00,14
564,538,2103,00-10,9
564,538,2605,00-10,1
564,538,2605,10-18,9
564,538,8199,00-10,7
564,538,8199,10-18,26
564,538,8199,18-00,5
564,538,8215,10-18,4
564,538,8216,00-10,1
564,582,220,00-10,317
564,582,220,10-18,922
564,582,220,18-00,242
564,582,222,00-10,6
564,582,222,18-00,2
564,G,3338,00-10,258
564,G,3338,10-18,451
564,G,3338,18-00,73
564,G,3382,00-10,26
564,G,3382,10-18,229
564,G,3382,18-00,17
564,G,3649,00-10,9
564,G,3649,10-18,17
564,G,3649,18-00,24
565,124,650,00-10,180
565,124,650,10-18,578
565,124,650,18-00,144
565,124,2172,00-10,9
565,124,2172,10-18,3
565,125,675,00-10,137
565,125,675,10-18,384
565,125,675,18-00,80
565,125,683,10-18,2
565,125,683,18-00,3
565,125,2032,00-10,10
565,125,2032,10-18,67
565,125,2032,18-00,7
565,127,698,00-10,9
565,127,698,10-18,2
565,127,698,18-00,6
565,127,708,00-10,17
565,127,708,10-18,30
565,127,708,18-00,13
565,127,710,10-18,36
565,127,1878,00-10,1
565,127,1878,10-18,2
565,127,1878,18-00,1
565,127,2411,00-10,16
565,127,2411,10-18,39
565,127,2411,18-00,11
565,127,2526,00-10,2
565,127,2668,00-10,6
565,127,2668,18-00,10
565,127,2671,00-10,17
